sign1_id,sign2_id,percent,description
1,1,75,"Може здатися дивним уявити Водолія, закоханого в іншого Водолія. Коли ви вивчаєте астрологію, одне з перших речей, які ви дізнаєтеся, це те, що Водолій є знаком розлучень, розривів і звільнення від режимів та стосунків. Як знак, що несе в собі протиріччя, Водолію часто нелегко спілкуватися з будь-яким іншим знаком зодіаку, але саме це вони можуть зрозуміти один в одному. Якщо вони по-справжньому поважають один одного, є велика ймовірність, що вони навчаться розуміти й інші аспекти життя один одного. Як би божевільно це не звучало, ці двоє партнерів мають великі шанси залишитися разом, тому що вони знатимуть один одного краще, ніж будь-хто інший. Однак вони рідко відчувають сильну привабливість один до одного, і навіть коли це трапляється, їм дуже важко сформувати глибокий емоційний зв'язок. Коли ж це трапляється, то... небо не є межею."
1,2,40,"Як і всі сусідні знаки, Водолій і Риби не завжди найкраще розуміють особистість один одного. Однак знак Водолія підносить Нептуна, правителя Риб, і це дає їм міцний зв'язок через планету всієї магії. Нелегко створити казкову версію цього контакту, але як тільки вони знайдуть емоційну рівновагу і єдину, основну істину один для одного, вони без проблем зможуть підтримувати свою казку, день за днем."
1,3,70,"Овен і Водолій створюють незвичайну та цікаву пару з елементів вогню і повітря, де обидва партнери цінують свободу та нові ідеї. Сміливість та ініціативність Овна гармонійно доповнюється винахідливістю і незалежністю Водолія – разом вони генерують безліч оригінальних планів і з радістю втілюють їх у життя. Їхні стосунки сповнені дружнього тепла та веселощів: Водолій захоплюється щирістю і силою Овна, а Овен поважає інтелект і нестандартний погляд на світ партнера. Іноді емоційно відсторонений Водолій може здаватися Овну занадто холодним, а Овен для Водолія – занадто вимогливим, але вони здатні швидко знаходити компроміс завдяки взаємній повазі. Коли ця пара підтримує одне одного у мріях і починаннях, їхнє кохання розквітає – яскраве, вільне та натхненне спільними пригодами."
1,4,40,"Телець і Водолій – незвична пара з протилежними поглядами, де зіткнулися традиційність землі та бунтівливість повітря. Консервативний Телець живе реальними справами і цінує звичний порядок, тоді як Водолій – яскрава індивідуальність, новатор і мрійник, який прагне змін та експериментів. Спочатку різниця може навіть притягувати: Водолій з цікавістю вчиться у Тельця терпінню і теплоті, а Телець піддається чарівності розуму і оригінального мислення партнера-Водолія. Згодом конфліктів не уникнути: Тельця засмучують непередбачуваність і емоційна відстороненість Водолія, а Водолію здається, що Телець надто впертий і скутий рамками. Цим знакам важко порозумітися без компромісів, але якщо вони щиро кохають, то можуть спробувати збалансувати різні світи – Телець дарує стосункам сталість і тепло, а Водолій привносить у них свіжість і захопливість."
1,5,95,"Близнюки і Водолій – блискучий союз двох повітряних стихій, де панують інтелект, дружба і взаємна свобода. Обидва знаки люблять нове та незвичайне: Близнюки невтомно генерують ідеї, а оригінальний Водолій із захопленням підхоплює їх – разом вони утворюють креативний і дуже товариський дует. Їхня емоційна прив’язаність будується на глибокому інтелектуальному зв’язку: вони годинами говорять про все на світі, розуміючи одне одного з півслова, та підтримують особисту незалежність партнера. Жоден з них не обмежує іншого – навпаки, вони надихають на розвиток та поважають індивідуальність: Водолій цінує дотепність і гнучкість Близнюків, а Близнюки захоплюються гуманністю і сміливими поглядами Водолія. Це майже ідеальна пара, в якій панує легкість і довіра: їхнє кохання нагадує яскраву дружбу, переповнену ніжністю, спільними мріями і взаємною підтримкою."
1,6,10,"Рак і Водолій – один з найменш ймовірних союзів, де традиціоналіст і домосід Рак намагається порозумітися з бунтівним і незалежним Водолієм. Емоційний Рак прагне близькості, передбачуваності і взаємної турботи, тоді як інтелектуальний Водолій цінує свободу, має безліч друзів та захоплень і часто емоційно відсторонений. Спочатку Рак може зацікавитися оригінальністю Водолія і його широким світоглядом, а Водолія приваблює доброта і щирість Рака – вони бачать одне в одному щось екзотичне. Однак дуже швидко Рак починає страждати від браку уваги та тепла, які не завжди здатен дати віддалений партнер, а Водолій відчуває тиск від надмірної чутливості та прив’язаності Рака. Зазвичай ці стосунки довго не тривають – надто вже різні їхні потреби – але якщо вони спробують зрозуміти один одного, то можуть навчитися цінним речам: Рак – трохи більше свободи, а Водолій – трохи більше душевності."
1,7,60,"Лев і Водолій – протилежності на зодіакальному колі (вогонь і повітря), їхній союз тримається на взаємному притяганні та одночасно викликах. Леву подобається оригінальність, розум та незалежний характер Водолія – він бачить у ньому цікавого співрозмовника і особистість, яка не підкоряється натовпу, а Водолія захоплює сила, щедрість і яскравість Лева. Спочатку між ними виникає сильний інтерес: вони багато спілкуються, діляться ідеями, разом втілюють креативні плани, їх фізична та інтелектуальна сумісність на високому рівні. Згодом проблеми можуть виникнути через різні потреби: Лев хоче більше емоційної близькості, поклоніння і традиційного вираження любові, а Водолій цінує дружнє партнерство, свободу і може здаватися Леву занадто відстороненим чи холодним – це неймовірно дратує та ранить Лева. Якщо вони навчаться приймати особливості одне одного – Лев дасть Водолію щире серце і лідерство, а Водолій подарує Леву нові погляди і простір для розвитку – їхній союз може стати незвичайним, але напрочуд плідним коханням, сповненим взаємоповаги."
1,8,30,"Діва може уособлювати все те, від чого тікає Водолій – практичність, турботу про здоров'я та земні справи, приземленість, манію до чистоти. Уявіть, наскільки безвідповідальним, хаотичним і нереалістичним Водолій виглядає в їхніх очах. Найсильніша точка дотику між ними – це раціональність і комунікабельність, і це можна використовувати для подолання багатьох проблем, що виникають через їхні відмінності. На жаль, у більшості випадків між ними не буде достатньої хімії, щоб почати стосунки, не кажучи вже про те, щоб довго залишатися в сексуально задовільних стосунках. Якщо вони ставитимуться один до одного серйозно, то можуть створити разом неймовірні речі, оскільки їхні великі уми злиються воєдино."
1,9,70,"Між партнерами-Терезами і Водоліями існує сильне взаєморозуміння завдяки їхньому спільному елементу Повітря. Проте, їхнім неспокійним Сонцям може бути досить складно порозумітися, і вони часто матимуть труднощі з пристосуванням до характеру один одного та знаходженням глибокої поваги один до одного. Найкращим ліком від будь-яких проблем у їхніх стосунках зазвичай є час, але через потребу Водоліїв у спонтанності вони часто не протримаються достатньо довго, щоб час зміг виправити те, що було зруйновано. Якою б не була їхня історія, вони переживуть разом багато цікавих подій, і якщо вони закохаються, то для такої пари було б шкода не спробувати побудувати стосунки, як би вони не закінчилися."
1,10,30,"Хтось може сказати, що це кармічні стосунки, що ці партнери були ворогами в одному зі своїх попередніх життів і що вони можуть боротися, поки один з них не загине. Однак це було б дещо надмірним. Правда в тому, що Скорпіон є знаком екзальтації Урана і, як такий, він певним чином обожнює Водолія. У більшості випадків партнер-Скорпіон буде одержимо виявляти свою прихильність, але Водолію це може бути навіть приємно. Якщо подивитися на знак Водолія, то ми побачимо, що він підносить Нептун, правителя водного знака Риб, і всі наші припущення про їхню емоційну холодність потонуть у їхній безмежній любові. Справа в тому, що вони обидва є в певному сенсі ізгоями і бунтівниками. Скорпіон уособлює всі наші емоції, з якими ми не хочемо мати справу, а Водолій уособлює спосіб мислення, до якого більшість з нас не готова. Найкраще розглядати їх як провісників змін, бо саме це вони принесуть у життя одне одного."
1,11,85,"Стосунки між Стрільцем і Водолієм можуть здаватися іншим людям дружбою між особами однієї статі, і що б вони про це не думали, саме такі стосунки можуть бути потрібні обом партнерам. Вони зустрінуться, коли для обох настане час змін у житті або коли вони захочуть розлучитися з партнером, який їх обмежує. Їхні стосунки часто є яскравим прикладом для всіх навколо, оскільки вони ставлять на перше місце майбутнє і дають надію на кращі часи. Головна проблема Стрільця і Водолія полягає в їхній раціональній природі. Хоча їхні розуми будуть чудово ладнати, їм може бути важко досягти справжньої близькості та інтимності. Їм обом потрібно сповільнитися і запитати себе, що вони відчувають, перш ніж опинитися в бездушних стосунках, в яких вони знаходять розраду, тікаючи від світу."
1,12,40,"Козеріг і Водолій спочатку можуть не вважати один одного цікавими. Обидва ці знаки традиційно перебувають під владою Сатурна, але їхні ролі в зодіаку абсолютно різні. Найскладнішим моментом у їхніх стосунках є емоційний контакт. Якщо вони хочуть залишитися разом, Козеріг повинен трохи відірватися від землі, а Водолій — трохи наблизитися до неї. Їм потрібно знайти золоту середину, щоб Козеріг міг допомогти Водолію втілити його ідеї, а Водолій — допомогти Козерігу внести необхідні зміни в його життя і звернутися до чогось нового."
2,2,75,"Двоє партнерів-Риб будуть мати проблеми з довірою один до одного. Їх мінлива натура буде постійно змінювати їхні стосунки, і тільки якщо вони поділяють достатньо любові, вони зможуть впоратися зі змінами і залишитися разом. У"
2,3,25,"Овен і Риби – одна з найскладніших пар зодіаку, у якій прямолінійний вогонь зустрічається з чутливою водою. Романтичні, мрійливі Риби прагнуть глибокого емоційного зв’язку і делікатності, тоді як відвертий та запальний Овен іноді буває занадто різким для тонкої душі Риб. Між ними можливе сильне притягання протилежностей: Овен спершу захоплюється загадковістю і добротою Риб, а Риби бачать в Овні сміливого захисника. Проте з часом різниця темпераментів дається взнаки – Овен може випадково поранити почуття вразливих Риб своєю нетактовністю, а Риби, закриваючись у своїх образах, віддаляються від партнера. Цим двом потрібне велике терпіння і розуміння: якщо Овен навчиться ніжності, а Риби – більшої відкритості, то навіть такий контрастний союз може знайти шлях до гармонії через щире кохання та співчуття."
2,4,90,"Телець і Риби – дивовижно гармонійне поєднання земної практичності та водної чуттєвості. Ніжні Риби відчувають себе захищеними поруч із сильним і турботливим Тельцем, а Телець зачарований м’яким романтизмом та глибокою духовністю Риб. Їхні стосунки сповнені доброти, співчуття і тихої радості: вони інтуїтивно розуміють емоції одне одного, поділяють любов до мистецтва, природи чи спільних мрій. Телець допомагає мрійливим Рибам відчувати ґрунт під ногами, підтримує їхні фантазії реальними діями, натомість Риби наповнюють життя Тельця натхненням, романтикою та глибокими почуттями. Ця пара має всі шанси на щасливе майбутнє: їхнє кохання щире, лагідне і міцне, бо кожен готовий віддати партнеру тепло свого серця і прийняти його таким, яким він є."
2,5,5,"Близнюки та Риби – майже полярні протилежності, яким дуже важко знайти спільну хвилю у стосунках. Легкі і раціональні Близнюки живуть розумом і словами, тоді як мрійливі емоційні Риби – серцем і інтуїцією, через що вони ніби говорять різними мовами. Спершу Риби можуть захопитися веселістю та гострим розумом Близнюків, а тим, своєю чергою, подобається загадкова чуттєвість Риб. Але дуже швидко непорозуміння переважають: Близнюкам важко задовольнити глибоку потребу Риб у ніжності і підтримці, а Риби відчувають себе розгубленими через мінливість і відстороненість партнерів-Близнюків. Для успіху цієї пари потрібне справжнє диво або велика любов: лише неймовірна терплячість Риб і небачена уважність Близнюків могли б допомогти їм побудувати крихкий місточок взаєморозуміння."
2,6,89,"Рак і Риби – дві споріднені водні душі, що творять ніжний, майже казковий роман. Вони чудово розуміють почуття одне одного: інтуїтивні Риби співпереживають кожному настрою Рака, а дбайливий Рак створює Рибам безпечний простір, де можна мріяти і бути собою. Їхній зв’язок глибоко емоційний і духовний – вони можуть мовчати разом, просто відчуваючи присутність партнера, і це буде для них найбільшим щастям. Конфлікти між ними трапляються рідко, хіба що обидва іноді заглиблюються у свої образи замість одразу про них сказати, але ніжність і любов швидко допомагають їм усе вирішити. Це дуже теплий і зворушливий союз: Рак і Риби надихають та підтримують одне одного, їхнє кохання сповнене романтики, взаємної відданості та тонкого взаєморозуміння на рівні сердець."
2,7,10,"Лев і Риби – союз, сповнений романтики та складнощів, де сонячний вогонь зустрічається з місячною водою. Щедрий, відкритий Лев живе на повну, прагнучи слави і активного життя, а мрійливі, тонко відчуваючі Риби більше зосереджені на внутрішньому світі, емоціях та духовності. Спочатку Лева зворушує ніжність і загадковість Риб – йому хочеться захищати і оберігати цього ніжного партнера, а Риби захоплюються яскравістю і впевненістю Лева, відчуваючи поруч із ним захист. Але згодом різниця стає надто відчутною: Лев може ненароком ранити тендітних Риб своєю прямотою або зайнятістю власною персоною, а Риби для Лева надто вразливі, потайні і незрозумілі – Леву важко бути з тим, хто ховається в тіні. Цей союз тримається хіба що на великому коханні або компромісі: якщо Лев проявить більше чуйності і м’якості, а Риби наберуться сміливості висловлювати свої потреби, тоді навіть така непроста пара може знайти моменти справжнього щастя."
2,8,90,"Діва і Риби представляють вісь піднесення і падіння як Венери, так і Меркурія. Це робить їх партнерами з найбільшими викликами і найбільшим потенціалом для кохання у всьому зодіаку. Їм потрібно знайти тонкий баланс між раціональністю і емоціями, кожному окремо і разом через свої стосунки. У багатьох випадках це не та пара, яка протримається дуже довго, оскільки їхня мінлива природа робить їх достатньо мінливими, щоб швидко знехтувати всіма стосунками, якщо вони не задоволені. Їм потрібно усвідомити, що досконалість, якої вони прагнуть, може не бути представлена у тій формі, якої вони очікують. Якщо вони залишаться разом достатньо довго, щоб зрозуміти переваги своїх стосунків, вони можуть відкрити, що любов між ними є єдиною справжньою любов'ю, яку вони можуть знайти в цьому житті."
2,9,30,"Терези та Риби мають спільну точку дотику в красі Венери. Проте вони сприймають її по-різному і часто не поважають одне одного настільки, щоб побачити красу Венери в партнері. Їм може бути дуже важко пристосуватися до темпу свого партнера, а мінливий характер Риб часто не допомагає їм швидше відкритися, щоб побудувати стосунки в темпі, який би підходив їхньому партнеру-Терезам. І Терези, і Риби можуть безкорисливо цікавитися задоволенням свого партнера, і це повинно допомогти їм залишатися в хороших стосунках, що б між ними не трапилося. Якщо вони подолають неповагу і нереалістичні очікування від особистості один одного, вони можуть виявити, що їх об'єднує справжня любов."
2,10,80,"Коли Скорпіон і Риби зустрічаються, ці стосунки, ймовірно, дадуть їм обом нові уявлення про емоційні можливості. Вони обоє легко захопляться образом казкового кохання, і цей образ може тримати їх разом дуже довго, навіть якщо вони обоє не дуже щасливі. Як два знаки Води, вони будуть покладатися на свої емоційні судження і розуміти це один в одному, створюючи справжню близькість. Виклик тут полягає в тому, щоб Скорпіон не зациклювався і не душив свого мінливого партнера, а Риби перестали тікати від негативних емоцій."
2,11,50,"Стосунки між Рибами та Стрільцем – це стосунки двох споріднених душ, які часто не тривають дуже довго. Спочатку їм буде складно вийти за межі платонічної зони і почати будувати фізичні стосунки. Як тільки вони зблизяться, почнеться процес пізнання, і обоє партнерів будуть зачаровані одне одним, думаючи, що їхні стосунки ніколи не закінчаться. Вони легко ідеалізують одне одного, вважають свої стосунки ідеальним коханням, але це захоплення не триватиме довго через їхню мінливу натуру. Насправді їхні стосунки є миттю в часі, коли вони обоє заслужили на посмішку. Поки вони тривають і вони щасливі, вони будуть дорогі обом."
2,12,75,"Стосунки між Козерогом і Рибами розповідають історію про можливості натхнення. Якщо хтось на зразок Козерога може бути втягнутий у божевільну історію кохання, захоплюючу і непередбачувану, то це має зробити Риби. Натомість Козеріг запропонує своєму партнеру-Рибам стабільність, спокій і деякий відпочинок від їхніх звичних емоційних бур. Є чудовий спосіб, за допомогою якого Козеріг може допомогти Рибам бути більш реалістичними і практичними, водночас відчуваючи себе більш веселими і оптимістичними. Проте, у їхніх стосунках є певні виклики, які в основному пов'язані з їхньою любов'ю до Юпітера. Їм може бути важко погодити свої різні підходи до релігії, віри та різних систем переконань. Щоб подолати це, найкраще, якщо вони обоє запитають себе: чи працює їхня система переконань? І чи працює система переконань їхнього партнера? Якщо вони зрозуміють відповіді на ці питання, вони можуть знайти достатньо поваги, щоб залишити Юпітер один одного недоторканим."
3,3,90,"Два Овни утворюють яскравий і динамічний союз. Обидва є вогняними знаками під впливом Марса, тому їх відносини наповнені пристрастю та енергією. Їхній роман кипить азартом і сміливими пригодами, адже кожен партнер надихає іншого на нові звершення. Однак два лідери в парі можуть змагатися за головну роль, тому їм важливо вчитися поступатися і контролювати свій запал. Якщо Овни виявлять терпіння і повагу, їхній гарячий союз може стати міцним та щасливим, адже вони чудово розуміють вогняну натуру одне одного."
3,4,45,"Овен (вогонь) і Телець (земля) – це пара протилежних темпераментів, де імпульсивність стикається зі спокоєм. Запальний Овен прагне пригод і швидких змін, тоді як терплячий Телець любить стабільність і повільний ритм життя. Спочатку між ними може виникнути сильний фізичний потяг – Овна приваблює ніжність Тельця, а Тельця зачаровує сміливість Овна. Проте у буденному житті їм нелегко: Овен може нетерпляче підганяти обережного партнера, а впертий Телець не завжди готовий йти на поступки. Якщо вони навчаться компромісу – Овен внесе в стосунки пристрасть, а Телець подарує їм надійність – то ця різнобарвна пара матиме шанс на гармонійне кохання."
3,5,80,"Овен і Близнюки утворюють жвавий та веселий тандем, що базується на поєднанні вогню і повітря. Енергійний Овен та допитливі Близнюки швидко знаходять спільну мову – їх приваблює дух пригод та любов до нових вражень. У романі між ними панує легкість і грайливість: вони багато спілкуються, сміються та спільно вигадують сміливі плани. Іноді Близнюкам може бракувати глибини емоцій Овна, а Овен часом ревнує до мінливої природи партнерів-Близнюків. Попри дрібні непорозуміння, ця пара зазвичай щаслива разом – їхнє життя наповнене рухом, теплими почуттями та взаємним надиханням."
3,6,45,"Овен і Рак – складне поєднання вогню та води, де палка відвертість зустрічається з ніжною чуттєвістю. Сміливий Овен захоплюється добротою і романтизмом Рака, а Рака водночас приваблює сила та впевненість партнера-Овна. На початку між ними може спалахнути пристрасне тяжіння, але з часом різниця характерів стає відчутною. Ранимого Рака можуть ображати прямолінійні слова Овна, а Овен не завжди розуміє тонкі емоції партнера, через що виникають образи. Якщо вони навчаться чути одне одного – Овен проявить більше ніжності, а Рак спробує бути сміливішим – ця пара зможе знайти теплоту та підтримку у стосунках."
3,7,90,"Овен і Лев – дві іскри одного вогню, що створюють яскравий і гармонійний союз. Обидва – сильні, впевнені знаки, наділені лідерськими якостями та невичерпною енергією, тому разом вони відчувають взаємне захоплення. Їхні романтичні стосунки сповнені пристрасті, веселощів і щирого захоплення одне одним – Лев обожнює ініціативність Овна, а Овен захоплюється шляхетністю Лева. У парі панує атмосфера гри і романтики, хоча інколи двом гордим натурам доводиться ділити увагу та визнання. За умови взаємної підтримки і похвали ця пара здатна на довготривале щасливе кохання, адже їхні серця горять однаково яскравим вогнем."
3,8,45,"Овен і Діва – незвична пара, де імпульсивність вогню стикається з розважливістю землі. Рішучий Овен діє перш ніж подумати, а практична Діва все ретельно аналізує – ці різні підходи спочатку можуть викликати іскри нерозуміння. Проте Овен захоплюється мудрістю і надійністю Діви, а Діва у глибині душі милується сміливістю та життєлюбством партнера-Овна. Щоб досягти гармонії, їм слід навчитися поважати відмінності: Овен може внести у життя Діви більше радості і спонтанності, а Діва допоможе Овну стати трохи організованішим. Якщо вони будуть терпеливі й уважні одне до одного, то зможуть перетворити свої протилежності на доповнення і побудувати ніжні, хоч і трохи ексцентричні стосунки."
3,9,65,"Овен і Терези – пара протилежностей, що притягуються на рівні стихій Вогню і Повітря. Запальному Овну імпонує чарівність та дипломатичність Терезів, тоді як романтичні Терези захоплюються сміливістю та щирістю Овна. Між ними часто виникає сильний фізичний і емоційний потяг: ці двоє здатні доповнювати одне одного, поєднуючи пристрасть з гармонією. Конфлікти можливі, коли Овен наполегливо відстоює свою думку, а Терези уникають сварок – їм потрібно навчитися відкрито обговорювати проблеми, не втрачаючи поваги. За умови компромісу ця пара може бути щасливою: Овен принесе у їхнє життя вогонь кохання, а Терези подарують стосункам рівновагу, красу і взаємну підтримку."
3,10,50,"Овен і Скорпіон утворюють вибухове поєднання двох сильних характерів, де вогонь зустрічається з водою. Обидва знаки пристрасні і волелюбні: Овен діє відкрито і прямо, тоді як загадковий Скорпіон глибоко переживає емоції і часто діє інтуїтивно. Їхній роман може початися з шаленої пристрасті – сексуальне тяжіння між цими знаками надзвичайно сильне і магнетичне. Проте у повсякденності можливі зіткнення характерів: ревнивий Скорпіон часом ображається на прямоту Овна, а незалежний Овен не терпить спроб контролю з боку партнера. Якщо вони навчаться довіряти і стримувати свій запал під час конфліктів, то можуть створити глибокий і відданий союз, побудований на пристрасті та взаємному захопленні."
3,11,90,"Овен і Стрілець – дві споріднені душі стихії Вогню, їхній союз майже ідеальний за захопливістю та взаєморозумінням. Обидва знаки оптимістичні, енергійні та люблять пригоди: разом вони почуваються вільно і радісно, немов двоє відчайдушних мандрівників по життю. Стрілець захоплюється лідерським духом Овна, а Овен цінує життєрадісність та мудрий гумор Стрільця – в їхніх стосунках панує взаємна підтримка та ентузіазм. Ця пара рідко нудьгує: вони постійно відкривають нові горизонти, діляться мріями і надихають один одного на сміливі кроки. Навіть конфлікти між ними швидко згасають, бо обидва не тримають зла – їх об’єднує щире тепло і пристрасть, які роблять цей союз міцним та щасливим."
3,12,40,"Овен і Козеріг – непростий дует, у якому імпульсивний вогонь зустрічається з холодкуватою мудрістю землі. Амбітний Козеріг цінує порядок, дисципліну і прагне довгострокових цілей, тоді як вольовий Овен живе сьогоденням і прагне миттєвих перемог. Спочатку їх може взаємно зацікавити сила характерів одне одного – Козерога інтригує сміливість Овна, а Овна приваблює загадкова витримка Козерога. Проте у стосунках виникають труднощі: Овен може відчувати, що обережний партнер стримує його пориви, а Козеріг часом критикує Овна за недбалість і поспішність. Якщо вони навчаться об’єднувати зусилля – Овен внесе у життя пари драйв і натхнення, а Козеріг забезпечить стабільність – їхній союз може поступово зміцніти і перерости у взаємоповагу."
4,4,90,"Двоє Тельців утворюють гармонійну і стабільну пару, адже вони обидва – земні знаки, що цінують комфорт, вірність і затишок. Їхні стосунки розвиваються повільно і ніжно: кожен партнер розуміє потребу іншого в безпеці та постійності, тому вони почуваються поруч як удома. У такій парі багато чуттєвості та турботи – Тельці щиро піклуються один про одного, насолоджуючись простими радощами життя: смачною вечерею, теплими обіймами, спільними традиціями. Конфлікти між ними рідкісні, хоча впертість обох може проявлятися: якщо виникають суперечки, то іноді важко визначити, хто поступиться першим. На щастя, глибока прив’язаність і прагнення миру допомагають їм долати негаразди – два Тельці здатні прожити разом довге щасливе життя, засноване на любові, довірі та взаємній повазі."
4,5,20,"Телець і Близнюки – дуже різні натури, і їхній союз вважається досить складним через протилежний ритм життя і погляди. Практичний, врівноважений Телець любить спокій і передбачуваність, тоді як легкі на підйом Близнюки мінливі, допитливі і постійно шукають нових вражень. Спочатку Тельця може привабити блискучий розум та дотепність Близнюків, а ті, у свою чергу, оцінять доброту і надійність партнера-Тельця. Але згодом Близнюкам може стати нудно з надто розміреним Тельцем, а Тельця дратуватиме непослідовність та непосидючість Близнюків – вони ніби живуть в різних швидкостях. Цій парі важко знайти спільний ритм, проте якщо обидва щиро закохані і готові до компромісів, Телець принесе стабільність, а Близнюки – яскравість, що може врівноважити їхні стосунки."
4,6,96,"Телець і Рак створюють ніжну та гармонійну пару, де земля і вода природно доповнюють одне одного. Обидва цінують дім, сім’ю та щирі почуття: турботливий Рак відчуває себе захищеним поруч з сильним і спокійним Тельцем, а Телець знаходить в партнері-Раку розуміння і емоційне тепло. Їхній роман розквітає поступово – від вірної дружби до глибокого кохання, збудованого на довірі та взаємній підтримці. Вони інтуїтивно розуміють потреби одне одного: Рак оточує Тельця ласкою і увагою, а практичний Телець забезпечує Раку стабільність та відчуття безпеки. Ця пара має всі шанси на довге і щасливе життя разом – їхній союз міцний, затишний і благословенний справжнім взаємним коханням."
4,7,35,"Телець і Лев – союз землі і вогню, який може бути непростим через різні пріоритети і темпераменти партнерів. Розкішний і гордий Лев любить яскраве життя та увагу, тоді як спокійний Телець прагне простоти, стабільності та душевного комфорту. Спочатку вони можуть захопитися один одним: Лева вражає надійність і сила Тельця, а Телець у захваті від щедрості та харизми Лева. З часом розбіжності стають помітними – Леву може бракувати динаміки і захоплення, а Тельця втомлює потреба Лева бути в центрі уваги та його іноді драматична натура. Якщо кожен навчиться цінувати особливості іншого – Лев подарує стосункам пристрасть і масштаб, а Телець забезпечить їм надійний тил – ця пара матиме шанс знайти власний баланс у коханні."
4,8,85,"Телець і Діва – чудово сумісний земний дует, який вирізняється спільними цінностями, розумінням і прагненням до стабільності. Практична Діва захоплюється силою і вірністю Тельця, а Телець цінує розум, турботливість і уважність Діви до дрібниць. Їхні стосунки розвиваються надійно і спокійно: партнери відчувають себе впевнено один з одним, вміють домовлятися про побутові речі і підтримують спільні життєві плани. У цій парі багато щирої поваги і допомоги: Діва охоче ділиться порадами і лагідно піклується про Тельця, а Телець створює для Діви атмосферу захищеності і любові. Разом вони утворюють міцний союз двох дорослих душ: їхнє кохання з роками стає тільки сильнішим, адже ґрунтується на дружбі, довірі і повній відданості одне одному."
4,9,30,"Телець і Терези – поєднання землі та повітря, яке сповнене як взаємного тяжіння, так і викликів. Обома знаками керує планета Венера, тому спочатку між ними виникає сильна романтика: елегантні Терези зачаровують Тельця своєю ніжністю і шармом, а Терези захоплюються чуттєвістю і надійністю Тельця. Вони люблять красу і комфорт, тому можуть насолоджуватися спільними тихими вечорами при свічках і гарною музикою – їх притягують естетика і гармонія. Проте різниця в характері дається взнаки: Терези більш легкі і соціальні, а Телець прагне усамітнення і сталості – це може спричиняти непорозуміння, коли Терези хочуть нових вражень, а Телець воліє звичного затишку. Щоб цей союз був вдалим, партнерам слід йти на зустріч: якщо Телець проявить більше гнучкості, а Терези – більше вірності, то їхні стосунки зможуть поєднати найкращі якості обох і перетворитися на щасливе кохання."
4,10,65,"Телець + Скорпіон – магнетична пара протилежностей, яка має потужне взаємне притягання. Стабільний земний Телець і емоційно глибокий водний Скорпіон знаходять один в одному те, чого їм бракує: Скорпіона заворожує сила і спокій Тельця, а Телець зачарований загадковою пристрастю Скорпіона. Між ними часто спалахує неймовірно сильна фізична і душевна близькість – їхній інтимний зв’язок насичений емоціями і чуттєвістю. Проте ці двоє – дуже вперті знаки, і конфлікти можуть бути бурхливими: власницький Скорпіон часом провокує ревнощі, а непохитний Телець не любить підкорятися чужому контролю. Якщо вони навчаться довіряти і прощати, їхній союз може стати одним з найміцніших: поєднання вірності Тельця і відданості Скорпіона створює глибоке, трансформуюче кохання на все життя."
